video_id	youtube_url	start_sec	end_sec	category	notes
ISell5L7xnQ	https://www.youtube.com/watch?v=ISell5L7xnQ	30	606	other	scam; channel=Pleasant Green; status=candidate_window; candidate window: short scam-bait clip, light intro trim; title=Did I Just Get Scammed?
i1HiVe7LM4c	https://www.youtube.com/watch?v=i1HiVe7LM4c	356	485	call_center	scam; channel=Pleasant Green; status=reviewed_window; reviewed transcript range: victim-warning/call-center incident segment; title=Trying to Raid an Indian Scam Call Center | Indian Scam Story #3
zpjQWi970TM	https://www.youtube.com/watch?v=zpjQWi970TM	30	733	legal_threat	scam; channel=Pleasant Green; status=candidate_window; candidate window: short scam-bait clip, light intro trim; title=Law Firm Scammers Get Shut Down!
PbdOu1YYpOk	https://www.youtube.com/watch?v=PbdOu1YYpOk	30	828	other	scam; channel=Pleasant Green; status=candidate_window; candidate window: short scam-bait clip, light intro trim; title=Scamming a Scammer with His Own Scam!
e79yjpumaDI	https://www.youtube.com/watch?v=e79yjpumaDI	281	454	other	scam; channel=Pleasant Green; status=reviewed_window; reviewed transcript range: bank intervention call; story intro/outro trimmed; title=We Saved A Woman From Losing $16k to Scammers!
4Xopnt1SOng	https://www.youtube.com/watch?v=4Xopnt1SOng	30	672	payment_app	scam; channel=Pleasant Green; status=candidate_window; candidate window: short scam-bait clip, light intro trim; title=Cash App Scammer Finally Breaks!
jP4Oo6vLcrY	https://www.youtube.com/watch?v=jP4Oo6vLcrY	60	720	call_center	scam; channel=Pleasant Green; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Call Center Scammer Answers Your Questions!
FO9mWvJAugQ	https://www.youtube.com/watch?v=FO9mWvJAugQ	60	720	other	scam; channel=Jim Browning; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Calling Scammers by their real names
RHHzoDqZL8M	https://www.youtube.com/watch?v=RHHzoDqZL8M	60	720	call_center	scam; channel=Jim Browning; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Destroying a scam call center
U9s5tCBHCas	https://www.youtube.com/watch?v=U9s5tCBHCas	60	720	call_center	scam; channel=Jim Browning; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Scammers Raided Live!
8Uujua2CBvM	https://www.youtube.com/watch?v=8Uujua2CBvM	30	881	subscription	scam; channel=Jim Browning; status=candidate_window; candidate window: short scam-bait clip, light intro trim; title=The Disney+ Scammers
qetP3tV0UY8	https://www.youtube.com/watch?v=qetP3tV0UY8	120	900	other	scam; channel=Jim Browning; status=candidate_window; candidate window: skip intro; sample early active scam-call segment; title=Jim Browning Teaches Me How To Fight Scammers
xb_rgQ4IDS8	https://www.youtube.com/watch?v=xb_rgQ4IDS8	60	720	call_center	scam; channel=Jim Browning; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Inside a scam call center
PQjZxBrcvkI	https://www.youtube.com/watch?v=PQjZxBrcvkI	30	868	call_center	scam; channel=Jim Browning; status=candidate_window; candidate window: short scam-bait clip, light intro trim; title=The $3 million scam call center
9lLTFVfRJvM	https://www.youtube.com/watch?v=9lLTFVfRJvM	120	900	amazon	scam; channel=Scammer Payback; status=candidate_window; candidate window: skip intro; sample early active scam-call segment; title=Amazon Scammer Accused me of being a T......
JaK1083Xx-c	https://www.youtube.com/watch?v=JaK1083Xx-c	60	720	refund	scam; channel=Scammer Payback; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Baiting Scammers for a $40,000 Refund
5xhjKByPNHk	https://www.youtube.com/watch?v=5xhjKByPNHk	60	720	call_center	scam; channel=Scammer Payback; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Call Center Scammer made a huge mistake
ZjFAjKZf6lA	https://www.youtube.com/watch?v=ZjFAjKZf6lA	120	900	other	scam; channel=Scammer Payback; status=candidate_window; candidate window: skip intro; sample early active scam-call segment; title=Before you answer another scam call... Watch This
XZNnKvWXGM4	https://www.youtube.com/watch?v=XZNnKvWXGM4	60	720	other	scam; channel=Scammer Payback; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Scammers Stole $30,000 - We gave it all back!
Wi_ph9ph3ZI	https://www.youtube.com/watch?v=Wi_ph9ph3ZI	60	720	call_center	"scam; channel=Scammer Payback; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Watch Us Break a Scam Call Center Using ""Water"""
6xN_6joxx5U	https://www.youtube.com/watch?v=6xN_6joxx5U	14	329	call_center	scam; channel=Scammer Payback; status=reviewed_window; reviewed transcript range: main Amazon scam call; follow-up calls/outro trimmed; title=I destroy this Call Center full of Scammers
YfQU_Qf_uTI	https://www.youtube.com/watch?v=YfQU_Qf_uTI	120	900	call_center	scam; channel=Trilogy Media; status=candidate_window; candidate window: skip intro; sample early active scam-call segment; title=GLITTERBOMBING a Scam Call Center w/ Mark Rober
Zk9_IEyS5G8	https://www.youtube.com/watch?v=Zk9_IEyS5G8	60	720	call_center	scam; channel=Trilogy Media; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=INDIAN HACKER Destroys Scam Call Center
8DMlV18Y1k4	https://www.youtube.com/watch?v=8DMlV18Y1k4	120	900	call_center	scam; channel=Trilogy Media; status=candidate_window; candidate window: skip intro; sample early active scam-call segment; title=Scammers HACKED and CONFRONTED at The People’s Call Center w/ Scammer Payback
AY9PT27Tk4o	https://www.youtube.com/watch?v=AY9PT27Tk4o	120	900	other	scam; channel=Trilogy Media; status=candidate_window; candidate window: skip intro; sample early active scam-call segment; title=The Most Insane Scammer Meltdown We’ve Ever Seen
rlSb3iR2GNY	https://www.youtube.com/watch?v=rlSb3iR2GNY	60	720	call_center	scam; channel=Trilogy Media; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Escaping a Scam Call Center [HIDDEN CAMERA]
SeW-CsAP17k	https://www.youtube.com/watch?v=SeW-CsAP17k	10	381	other	scam; channel=Trilogy Media; status=reviewed_window; reviewed transcript range: scam-bait call throughout clip; title=Scammer Completely GIVES UP On Us - #scambaiting with IRLrosie!
Kvl8-9FTYYI	https://www.youtube.com/watch?v=Kvl8-9FTYYI	0	225	other	scam; channel=Trilogy Media; status=reviewed_window; reviewed transcript range: scam call starts immediately; trailing disconnect chatter trimmed; title=Calling Scammer Back Repeatedly Until They Change The Number
AEZdbouYj4s	https://www.youtube.com/watch?v=AEZdbouYj4s	4	518	other	scam; channel=Trilogy Media; status=reviewed_window; reviewed transcript range: opening fragment trimmed; title=Calling Scammer as Kermit the Frog and DRUNK ALEXA! #scambaiting with IRLrosie!
11fGUPtG_UM	https://www.youtube.com/watch?v=11fGUPtG_UM	120	900	refund	scam; channel=More Kitboga; status=candidate_window; candidate window: skip intro; sample early active scam-call segment; title=Scammer Thinks He Lost $40K - He Rages (Full Call)
OusVRggUxbg	https://www.youtube.com/watch?v=OusVRggUxbg	120	900	refund	scam; channel=More Kitboga; status=candidate_window; candidate window: skip intro; sample early active scam-call segment; title=Scam Backfires When I Redeem $1K (Full 3.5h Call)
pyvwuk7v94s	https://www.youtube.com/watch?v=pyvwuk7v94s	60	720	refund	scam; channel=Kitboga; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Scammers Cry After Ruining Their Own Scam - $430K Gone
WKLRKCVar6Y	https://www.youtube.com/watch?v=WKLRKCVar6Y	30	760	tech_support	scam; channel=Kitboga; status=candidate_window; candidate window: short scam-bait clip, light intro trim; title=Installing 100 Viruses - Calling Tech Support Scammers
tghzp5vi8hc	https://www.youtube.com/watch?v=tghzp5vi8hc	60	720	tech_support	scam; channel=NanoBaiter; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=DESTROYING Scammers With a VIRUS Live On CCTV!
xjp0nd7qOGo	https://www.youtube.com/watch?v=xjp0nd7qOGo	60	720	call_center	scam; channel=NanoBaiter; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Destroying This ENTIRE Scam Call Center!
Un6sYuYTZyI	https://www.youtube.com/watch?v=Un6sYuYTZyI	60	720	call_center	scam; channel=Pleasant Green; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Scamming a Scam Call Center from the Inside!
k6c7AiSxPXA	https://www.youtube.com/watch?v=k6c7AiSxPXA	30	809	call_center	scam; channel=Pleasant Green; status=candidate_window; candidate window: short scam-bait clip, light intro trim; title=I Took Over a Scam Call Center!
neZu_Ff6UL8	https://www.youtube.com/watch?v=neZu_Ff6UL8	30	682	other	scam; channel=IRLrosie; status=candidate_window; candidate window: short scam-bait clip, light intro trim; title=YELLING AT SCAMMERS, W/ OLD LADY VOICE | IRLrosie #scambaiting
dych5ovyRf0	https://www.youtube.com/watch?v=dych5ovyRf0	30	598	cruise	scam; channel=IRLrosie; status=candidate_window; candidate window: short scam-bait clip, light intro trim; title=ASKING this SCAMMER on a DATE to his CRUISE SCAM!
rCkbg3OvGcw	https://www.youtube.com/watch?v=rCkbg3OvGcw	0	125	customer_service	legit; channel=legit_search; status=candidate_window; candidate window: short legitimate call, use full audio unless review finds intro/outro; title=Nightmarish call between Comcast rep and customer trying to cancel cable goes viral
1vH7L0S8Bjg	https://www.youtube.com/watch?v=1vH7L0S8Bjg	0	156	tech_support	legit; channel=legit_search; status=candidate_window; candidate window: short legitimate call, use full audio unless review finds intro/outro; title=Unbelievable iPhone 4 tech support call recorded!!
Ryas9OANw-E	https://www.youtube.com/watch?v=Ryas9OANw-E	0	120	customer_service	legit; channel=legit_search; status=candidate_window; candidate window: short legitimate call, use full audio unless review finds intro/outro; title=call center salesman goes insane (REAL RECORDING)
seQ5RRI6H4c	https://www.youtube.com/watch?v=seQ5RRI6H4c	60	540	customer_service	legit; channel=mock_call; status=candidate_window; candidate window: skip training intro; sample role-play section; title=Mock Call Sample Recording With Call Flow Guide: PART 1
3ej67cf8Om0	https://www.youtube.com/watch?v=3ej67cf8Om0	60	540	delivery	legit; channel=mock_call; status=candidate_window; candidate window: skip training intro; sample role-play section; title=Lost Parcel Mock Call Sample
IVoWT_YyEog	https://www.youtube.com/watch?v=IVoWT_YyEog	20	426	billing	legit; channel=mock_call; status=reviewed_window; reviewed transcript range: product-knowledge intro and tutorial outro trimmed; title=Mock Call Sample Script | Billing Question | Short Version
QTZq96twjs0	https://www.youtube.com/watch?v=QTZq96twjs0	3	184	customer_service	legit; channel=mock_call; status=reviewed_window; reviewed transcript range: clean legitimate customer-service mock call; title=Mock Call Sample Recording: PART 1
rm6jfkXdB7Y	https://www.youtube.com/watch?v=rm6jfkXdB7Y	60	540	customer_service	legit; channel=mock_call; status=candidate_window; candidate window: skip training intro; sample role-play section; title=Mock Call with a Verbally Abusive Customer (with Explanation)
SXGtFXRz2Lg	https://www.youtube.com/watch?v=SXGtFXRz2Lg	6	346	refund	legit; channel=mock_call; status=reviewed_window; reviewed transcript range: clean legitimate product-refund call; title=Customer Service Sample Call - Product Refund
hpZFJctBUHQ	https://www.youtube.com/watch?v=hpZFJctBUHQ	0	108	order_taking	legit; channel=mock_call; status=reviewed_window; reviewed transcript range: clean legitimate order-taking call; title=Sample Order Taking | Customer Support Philippines
2LFEvWcPy7o	https://www.youtube.com/watch?v=2LFEvWcPy7o	20	566	billing	legit; channel=Jeline Bracamonte; status=candidate_window; candidate window: light trim for intro/outro; replacement for failed 6yd35rEKXio; title=Mock Call #1: Telco Account | Call Flow | Account Verification, Billing, Offer
9n84Nrsjh1A	https://www.youtube.com/watch?v=9n84Nrsjh1A	120	720	tech_support	legit; channel=mock_call; status=candidate_window; candidate window: long training video; sample central role-play section; title=Telco Account Mock Call for Newbies - No Internet
rM2ghJUx1Go	https://www.youtube.com/watch?v=rM2ghJUx1Go	120	720	healthcare	legit; channel=mock_call; status=candidate_window; candidate window: long training video; sample central role-play section; title=HEALTHCARE Account Mock Call & Tips for Call Center Newbies
gD7xQGXpSBg	https://www.youtube.com/watch?v=gD7xQGXpSBg	2	127	tech_support	legit; channel=legit_search; status=reviewed_window; reviewed transcript range: clean legitimate tech-support complaint call; title=Angry customer threatens legal action (Tech Support)
z44Sve0qbaE	https://www.youtube.com/watch?v=z44Sve0qbaE	11	208	doctor_appointment	legit; channel=mock_call; status=reviewed_window; reviewed transcript range: lesson intro trimmed; title=How to Book a Doctor’s Appointment | Realistic Phone Conversation Example
fmhe6gnCq2w	https://www.youtube.com/watch?v=fmhe6gnCq2w	120	720	customer_service	legit; channel=Kwestyon; status=candidate_window; candidate window: long training video; sample central role-play section; title=How to Empathize in Call Center Customer Service | Scripts, Mock Calls
5CyZEDksQ0E	https://www.youtube.com/watch?v=5CyZEDksQ0E	60	540	healthcare	legit; channel=Kwestyon; status=candidate_window; candidate window: skip training intro; sample role-play section; title=Healthcare Account Mock Call - CRYING CUSTOMER
09Q5P5tCoRM	https://www.youtube.com/watch?v=09Q5P5tCoRM	0	56	customer_service	legit; channel=Daryll Christiann Moya; status=candidate_window; candidate window: short legitimate call, use full audio unless review finds intro/outro; title=Sample Mock Call | Order Arrived Damaged (Part 1)
NOKYveLcpbs	https://www.youtube.com/watch?v=NOKYveLcpbs	20	507	billing	legit; channel=Jeline Bracamonte; status=candidate_window; candidate window: light trim for intro/outro; title=Mock Call #19: Handling an Irate Customer with Billing Issues
1LIL2nonofM	https://www.youtube.com/watch?v=1LIL2nonofM	0	153	billing	legit; channel=Jeline Bracamonte; status=candidate_window; candidate window: short legitimate call, use full audio unless review finds intro/outro; title=Mock Call #29: Billing Dispute
Rw1FVnkbde0	https://www.youtube.com/watch?v=Rw1FVnkbde0	0	175	travel	legit; channel=Jeline Bracamonte; status=candidate_window; candidate window: short legitimate call, use full audio unless review finds intro/outro; title=Mock Call #27: Travel Account
_fAMKYxO-Gg	https://www.youtube.com/watch?v=_fAMKYxO-Gg	20	238	banking	legit; channel=Jeline Bracamonte; status=candidate_window; candidate window: light trim for intro/outro; title=Mock Call #28: Bank Card Compromise Solution
cm14XPpeFKQ	https://www.youtube.com/watch?v=cm14XPpeFKQ	60	540	telco	legit; channel=Single Step English; status=candidate_window; candidate window: skip training intro; sample role-play section; title=English for Call Centers | Role Play Practice | Phone Company
F2kJeD_cl5w	https://www.youtube.com/watch?v=F2kJeD_cl5w	20	354	customer_service	legit; channel=Single Step English; status=candidate_window; candidate window: light trim for intro/outro; title=Mastering Customer Service: Handling Rude Customers
wZiUgLaKNec	https://www.youtube.com/watch?v=wZiUgLaKNec	20	317	billing	legit; channel=Single Step English; status=candidate_window; candidate window: light trim for intro/outro; title=Resolving a Confusing Billing Issue
AjBkLZJ9lEM	https://www.youtube.com/watch?v=AjBkLZJ9lEM	20	557	order_taking	legit; channel=Rea Ninja; status=candidate_window; candidate window: light trim for intro/outro; title=MOCK CALL PRACTICE: Order Taking and Processing
VyyX7WjTlRU	https://www.youtube.com/watch?v=VyyX7WjTlRU	20	374	healthcare	legit; channel=Single Step English; status=candidate_window; candidate window: light trim for intro/outro; title=Call Center English Conversation: Mock Call for Health Insurance
XHvJeSgwii0	https://www.youtube.com/watch?v=XHvJeSgwii0	20	368	hotel_reservation	legit; channel=Kwestyon; status=candidate_window; candidate window: light trim for intro/outro; title=Mock Call Practice | Hotel Reservation | Short Version
5jP6qM3Kakc	https://www.youtube.com/watch?v=5jP6qM3Kakc	0	103	doctor_appointment	legit; channel=Learn English by Pocket Passport; status=candidate_window; candidate window: short legitimate call, use full audio unless review finds intro/outro; title=Doctor's Appointment | English Conversation
o34GHVojoiY	https://www.youtube.com/watch?v=o34GHVojoiY	20	418	banking	legit; channel=Single Step English; status=candidate_window; candidate window: light trim for intro/outro; title=English for Call Centers | Role Play Practice | Banking and Finance
